code,sex,family name,first name,date of birth,activity,pol party
PA346054,male,Maquet,Emmanuel,1968-06-02,Cadres,REP
PA346876,male,Solère,Thierry,1971-08-17,Cadres,LAREM
PA405480,male,Pupponi,François,1962-07-31,Cadres,RPS
PA421348,male,Villiers,André,1954-12-13,Agriculteurs,UDRL
PA508,female,Biémouret,Gisèle,1952-06-16,Cadres,PS
PA588884,female,Autain,Clémentine,1973-05-26,Cadres,FI
PA604,male,Bouley,Bernard,1950-07-11,Entrepreneurs,REP
PA605036,male,Abad,Damien,1980-04-05,Non déclaré,REP
PA605069,male,Bricout,Jean-Louis,1957-12-27,Cadres,PS
PA605084,male,Krabal,Jacques,1948-04-10,Retraités,LAREM
PA605131,male,Castaner,Christophe,1966-01-03,Cadres,LAREM
PA605518,male,Lambert,François-Michel,1966-08-24,Cadres,RPS
PA605694,male,Falorni,Olivier,1972-03-27,Cadres,ND
PA605963,male,Alauzet,Éric,1958-06-07,Cadres,LAREM
PA605991,female,Genevard,Annie,1956-09-07,Cadres,REP
PA606098,male,Marleix,Olivier,1971-02-06,Cadres,REP
PA606171,male,Ferrand,Richard,1962-07-01,Cadres,LAREM
PA606202,female,Dumas,Françoise,1960-04-12,Cadres,LAREM
PA606507,male,Boudié,Florent,1973-09-22,Cadres,LAREM
PA606639,male,Vignal,Patrick,1958-01-22,Entrepreneurs,LAREM
PA607090,male,Vigier,Jean-Pierre,1969-10-22,Cadres,REP
PA607155,male,Daniel,Yves,1954-07-31,Retraités,LAREM
PA607193,female,Errante,Sophie,1971-07-22,Entrepreneurs,LAREM
PA607395,male,Travert,Stéphane,1969-10-12,Cadres,LAREM
PA607553,male,Potier,Dominique,1964-03-17,Agriculteurs,PS
PA607595,male,Pellois,Hervé,1951-04-17,Cadres,LAREM
PA607619,male,Molac,Paul,1962-05-21,Cadres,RPS
PA608016,female,Louwagie,Véronique,1961-03-20,Cadres,REP
PA608172,female,Pires Beaune,Christine,1964-10-06,Cadres,PS
PA608292,female,Dubié,Jeanine,1958-01-03,Cadres,ND
PA608416,male,Hetzel,Patrick,1964-07-02,Cadres,REP
PA608641,male,Blein,Yves,1954-10-12,Cadres,LAREM
PA608695,female,Untermaier,Cécile,1951-12-28,Cadres,PS
PA608741,female,Tolmont,Sylvie,1962-10-09,Cadres,PS
PA608826,female,Duby-Muller,Virginie,1979-08-16,Cadres,REP
PA609332,male,Faure,Olivier,1968-08-18,Cadres,PS
PA609590,female,Rabault,Valérie,1973-04-25,Cadres,PS
PA609726,male,Aubert,Julien,1978-06-11,Cadres,REP
PA610654,male,Nilor,Jean-Philippe,1965-05-15,Cadres,PCF
PA610667,male,Serville,Gabriel,1959-09-27,Cadres,PCF
PA610775,male,Gomès,Philippe,1958-10-27,Cadres,ND
PA642695,male,Bothorel,Éric,1966-10-20,Cadres,LAREM
PA642724,male,Barbier,Frédéric,1960-08-30,Cadres,LAREM
PA642764,male,Aviragnet,Joël,1956-06-16,Cadres,PS
PA642847,male,Bazin,Thibault,1984-10-27,Cadres,REP
PA642868,male,Christophe,Paul,1971-02-10,Cadres,MODEM
PA642935,male,Becht,Olivier,1976-04-28,Cadres,MODEM
PA643004,male,Labille,Grégory,1968-07-10,Prof. inter.,UDRL
PA643089,male,Thiériot,Jean-Louis,1969-06-26,Cadres,REP
PA643103,male,Ferrara,Jean-Jacques,1967-06-16,Cadres,REP
PA643127,male,Questel,Bruno,1966-12-21,Cadres,LAREM
PA643134,female,Valentin,Isabelle,1962-01-20,Agriculteurs,REP
PA643145,female,Vainqueur-Christophe,Hélène,1956-05-06,Cadres,ND
PA643157,male,Naillet,Philippe,1960-08-14,Cadres,PS
PA643175,female,Dupont,Stella,1973-11-03,Cadres,LAREM
PA643192,female,Jourdan,Chantal,1958-09-02,Cadres,PS
PA643205,female,Lang,Anne-Christine,1961-08-10,Cadres,LAREM
PA672,male,Bridey,Jean-Jacques,1953-05-07,Cadres,LAREM
PA677483,male,Mazars,Stéphane,1969-03-25,Cadres,LAREM
PA689,female,Buffet,Marie-George,1949-05-07,Employés,PCF
PA695100,male,Habib,Meyer,1961-04-28,Cadres,UDRL
PA702052,female,Sage,Maina,1975-05-10,Cadres,ND
PA702054,male,Claireaux,Stéphane,1964-06-23,Entrepreneurs,ND
PA709315,male,Viala,Arnaud,1974-12-04,Cadres,REP
PA712014,male,Ledoux,Vincent,1966-06-21,Cadres,MODEM
PA712015,male,Dive,Julien,1985-05-21,Cadres,REP
PA713448,female,Brenier,Marine,1986-08-11,Cadres,REP
PA717167,male,Mahjoubi,Mounir,1984-03-01,Cadres,LAREM
PA717379,male,Maillard,Sylvain,1974-04-28,Entrepreneurs,LAREM
PA718674,female,Givernet,Olga,1981-10-17,Cadres,LAREM
PA718682,male,Trompille,Stéphane,1982-12-01,Employés,LAREM
PA718694,male,Delatte,Marc,1961-05-24,Cadres,LAREM
PA718710,female,Boyer,Pascale,1965-09-28,Non déclaré,LAREM
PA718720,male,Dufrègne,Jean-Paul,1958-03-28,Cadres,PCF
PA718728,female,Vanceunebrock,Laurence,1970-05-06,Employés,LAREM
PA718736,female,Peyrol,Bénédicte,1991-03-23,Cadres,LAREM
PA718744,female,Bagarry,Delphine,1970-01-09,Cadres,EELV
PA718756,female,Bono-Vandorme,Aude,1962-08-03,Cadres,LAREM
PA718768,female,Valetta Ardisson,Alexandra,1976-06-07,Prof. inter.,LAREM
PA718780,female,Trastour-Isnart,Laurence,1972-03-06,Cadres,REP
PA718784,male,Pauget,Éric,1970-08-18,Cadres,REP
PA718794,female,Hérin,Danièle,1947-01-14,Retraités,LAREM
PA718802,male,Perea,Alain,1971-06-05,Cadres,LAREM
PA718810,female,Robert,Mireille,1962-03-01,Prof. inter.,LAREM
PA718838,male,Brun,Fabrice,1968-04-02,Entrepreneurs,REP
PA718850,male,Cordier,Pierre,1972-05-27,Cadres,REP
PA718860,female,Taurine,Bénédicte,1976-06-18,Cadres,FI
PA718868,male,Larive,Michel,1966-08-22,Prof. inter.,FI
PA718876,male,Besson-Moreau,Grégory,1982-07-07,Entrepreneurs,LAREM
PA718884,female,Bazin-Malgras,Valérie,1969-10-31,Cadres,REP
PA718894,male,Dombreval,Loïc,1966-04-16,Entrepreneurs,LAREM
PA718902,male,Roussel,Cédric,1972-10-10,Cadres,LAREM
PA718910,female,Pitollat,Claire,1979-09-17,Cadres,LAREM
PA718918,female,Louis,Alexandra,1983-09-17,Cadres,LAREM
PA718926,male,Dharréville,Pierre,1975-06-15,Prof. inter.,PCF
PA718930,female,Petel,Anne-Laurence,1970-02-08,Cadres,LAREM
PA718944,female,Racon-Bouzon,Cathy,1976-11-22,Cadres,LAREM
PA718954,male,Ahamada,Saïd,1972-11-07,Prof. inter.,LAREM
PA718962,male,Zulesi,Jean-Marc,1988-06-06,Cadres,LAREM
PA718978,male,Laqhila,Mohamed,1959-08-03,Cadres,MODEM
PA718990,female,Blanc,Anne,1966-07-20,Prof. inter.,LAREM
PA719002,male,Ravier,Julien,1978-02-16,Cadres,REP
PA719006,male,Le Vigoureux,Fabrice,1969-08-27,Cadres,LAREM
PA719020,female,Porte,Nathalie,1973-02-02,Cadres,REP
PA719024,male,Blanchet,Christophe,1973-04-09,Entrepreneurs,MODEM
PA719032,male,Bouyx,Bertrand,1970-05-26,Prof. inter.,LAREM
PA719044,female,Essayan,Nadia,1957-06-06,Cadres,MODEM
PA719052,male,Kervran,Loïc,1984-02-11,Cadres,LAREM
PA719060,male,Jerretie,Christophe,1979-08-31,Cadres,MODEM
PA719072,male,Mesnier,Thomas,1986-03-04,Cadres,LAREM
PA719080,female,Marsaud,Sandra,1974-01-02,Cadres,LAREM
PA719092,female,Tuffnell,Frédérique,1956-06-29,Cadres,MODEM
PA719100,male,Ardouin,Jean-Philippe,1964-03-05,Entrepreneurs,LAREM
PA719108,male,Gérard,Raphaël,1968-10-17,Cadres,LAREM
PA719118,male,Cormier-Bouligeon,François,1972-11-19,Cadres,LAREM
PA719130,female,Michel-Brassart,Monica,1955-04-16,Cadres,LAREM
PA719138,male,Castellani,Michel,1945-09-28,Cadres,RPS
PA719146,male,Acquaviva,Jean-Félix,1973-03-19,Cadres,RPS
PA719154,male,Martin,Didier,1956-08-20,Cadres,LAREM
PA719162,female,Dubois,Jacqueline,1957-05-28,Retraités,LAREM
PA719170,female,Charvier,Fannette,1984-12-31,Employés,LAREM
PA719186,female,Khattabi,Fadila,1962-02-23,Cadres,LAREM
PA719194,female,de Courson,Yolaine,1954-07-14,Retraités,MODEM
PA719202,male,Paris,Didier,1954-02-14,Cadres,LAREM
PA719210,male,Joncour,Bruno,1953-11-25,Employés,MODEM
PA719218,male,Berville,Hervé,1990-01-15,Cadres,LAREM
PA719230,male,Kerlogot,Yannick,1970-05-12,Cadres,LAREM
PA719242,male,Moreau,Jean-Baptiste,1977-02-14,Agriculteurs,LAREM
PA719250,male,Chassaing,Philippe,1972-05-18,Prof. inter.,LAREM
PA719258,male,Delpon,Michel,1949-08-13,Cadres,LAREM
PA719266,male,Cubertafon,Jean-Pierre,1948-02-05,Retraités,MODEM
PA719272,female,Meunier,Frédérique,1960-12-08,Cadres,REP
PA719286,male,Colombani,Paul-André,1967-08-17,Cadres,RPS
PA719294,female,Clapot,Mireille,1963-10-14,Cadres,LAREM
PA719302,female,Thourot,Alice,1985-10-12,Cadres,LAREM
PA719310,female,de Lavergne,Célia,1979-11-21,Cadres,LAREM
PA719318,female,Anthoine,Emmanuelle,1964-07-02,Cadres,REP
PA719326,female,Gipson,Séverine,1970-12-13,Cadres,LAREM
PA719330,male,Gouttefarde,Fabien,1978-09-27,Cadres,LAREM
PA719338,female,Melchior,Graziella,1960-04-06,Cadres,LAREM
PA719350,female,Tamarelle-Verhaeghe,Marie,1962-09-27,Cadres,LAREM
PA719364,female,O'Petit,Claire,1949-10-15,Retraités,LAREM
PA719372,male,Kasbarian,Guillaume,1987-02-28,Cadres,LAREM
PA719382,male,Lamirault,Luc,1962-05-12,Entrepreneurs,ND
PA719388,female,Le Meur,Annaïg,1973-04-29,Entrepreneurs,LAREM
PA719396,male,Larsonneur,Jean-Charles,1984-01-24,Cadres,LAREM
PA719404,male,Le Gac,Didier,1965-07-19,Prof. inter.,LAREM
PA719412,female,Le Feur,Sandrine,1991-03-18,Agriculteurs,LAREM
PA719420,male,Sommer,Denis,1957-09-23,Cadres,LAREM
PA719436,male,Meizonnet,Nicolas,1983-12-22,Cadres,ND
PA719440,male,Cellier,Anthony,1975-06-01,Cadres,LAREM
PA719448,female,Chapelier,Annie,1967-11-07,Prof. inter.,ND
PA719456,female,Mörch,Sandrine,1961-11-13,Cadres,LAREM
PA719464,male,Nadot,Sébastien,1972-07-08,Cadres,RPS
PA719472,male,Cazeneuve,Jean-René,1958-06-09,Cadres,LAREM
PA719480,male,Gaillard,Olivier,1967-02-28,Cadres,ND
PA719488,male,Berta,Philippe,1960-04-11,Cadres,MODEM
PA719496,male,Cabaré,Pierre,1957-12-12,Entrepreneurs,LAREM
PA719504,male,Lagleize,Jean-Luc,1958-09-09,Cadres,MODEM
PA719512,female,Vignon,Corinne,1963-06-10,Cadres,LAREM
PA719520,male,Nogal,Mickaël,1990-11-26,Cadres,LAREM
PA719528,male,Portarrieu,Jean-François,1965-10-14,Cadres,LAREM
PA719540,female,Toutut-Picard,Élisabeth,1954-12-17,Cadres,LAREM
PA719550,female,Tanguy,Liliana,1967-03-12,Cadres,LAREM
PA719558,male,Balanant,Erwan,1971-02-21,Cadres,MODEM
PA719570,female,Fabre,Catherine,1978-09-19,Cadres,LAREM
PA719578,male,Prud'homme,Loïc,1969-08-19,Prof. inter.,FI
PA719592,male,Simian,Benoit,1983-05-27,Cadres,UDRL
PA719600,male,Poulliat,Éric,1974-07-09,Employés,LAREM
PA719608,female,Ménard,Emmanuelle,1968-08-15,Cadres,ND
PA719616,male,Euzet,Christophe,1967-04-02,Cadres,MODEM
PA719624,female,Couillard,Bérangère,1986-07-24,Cadres,LAREM
PA719632,female,Panonacle,Sophie,1968-12-16,Non déclaré,LAREM
PA719640,female,Mette,Sophie,1959-09-13,Non déclaré,MODEM
PA719652,female,Hammerer,Véronique,1968-11-04,Cadres,LAREM
PA719660,female,Dubos,Christelle,1976-03-26,Cadres,LAREM
PA719668,female,Mirallès,Patricia,1967-08-22,Employés,LAREM
PA719676,female,Ressiguier,Muriel,1977-12-21,Employés,FI
PA719684,female,Dubost,Coralie,1983-03-04,Cadres,LAREM
PA719692,male,Eliaou,Jean-François,1956-08-13,Cadres,LAREM
PA719700,male,Huppé,Philippe,1968-02-12,Cadres,LAREM
PA719710,female,David,Dominique,1963-02-27,Cadres,LAREM
PA719718,female,Maillart-Méhaignerie,Laurence,1967-04-05,Entrepreneurs,LAREM
PA719728,male,Le Bohec,Gaël,1977-11-04,Entrepreneurs,LAREM
PA719736,female,Galliard-Minier,Camille,1975-05-26,Non déclaré,LAREM
PA719740,male,Colas-Roy,Jean-Charles,1978-05-02,Cadres,LAREM
PA719748,female,Chalas,Émilie,1977-10-18,Cadres,LAREM
PA719756,female,Cloarec-Le Nabour,Christine,1964-10-28,Prof. inter.,LAREM
PA719770,male,Bachelier,Florian,1979-04-05,Entrepreneurs,LAREM
PA719778,male,Jolivet,François,1966-03-21,Cadres,LAREM
PA719790,male,Chalumeau,Philippe,1963-11-08,Cadres,LAREM
PA719798,male,Labaronne,Daniel,1955-07-16,Cadres,LAREM
PA719814,female,Colboc,Fabienne,1971-08-09,Cadres,LAREM
PA719822,female,Thillaye,Sabine,1959-05-18,Entrepreneurs,MODEM
PA719830,male,Démoulin,Nicolas,1972-07-22,Entrepreneurs,LAREM
PA719842,male,Laabid,Mustapha,1969-03-29,Cadres,LAREM
PA719850,female,Motin,Cendra,1975-01-29,Cadres,LAREM
PA719858,female,Limon,Monique,1953-12-05,Retraités,LAREM
PA719866,female,Abadie,Caroline,1976-09-07,Cadres,LAREM
PA719874,female,Jacquier-Laforge,Élodie,1978-04-15,Cadres,MODEM
PA719882,female,Meynier-Millefert,Marjolaine,1982-09-30,Cadres,LAREM
PA719890,female,Brulebois,Danielle,1947-07-04,Retraités,LAREM
PA719918,male,Lainé,Fabien,1976-04-15,Prof. inter.,MODEM
PA719922,male,Causse,Lionel,1971-05-06,Cadres,LAREM
PA719930,male,Vallaud,Boris,1975-07-25,Cadres,PS
PA719942,male,Baudu,Stéphane,1965-05-01,Cadres,MODEM
PA719946,male,Peltier,Guillaume,1976-08-27,Cadres,REP
PA719952,male,Mis,Jean-Michel,1967-07-28,Cadres,LAREM
PA719960,female,Faure-Muntian,Valéria,1984-09-02,Employés,LAREM
PA719972,female,Sarles,Nathalie,1962-04-17,Employés,LAREM
PA719980,male,Borowczyk,Julien,1979-05-02,Cadres,LAREM
PA719994,female,Kamowski,Catherine,1958-04-08,Cadres,LAREM
PA720006,male,Geismar,Luc,1966-11-01,Cadres,MODEM
PA720014,female,Tiegna,Huguette,1982-04-01,Cadres,LAREM
PA720022,male,Lauzzana,Michel,1957-03-20,Cadres,LAREM
PA720030,male,Freschi,Alexandre,1979-05-17,Entrepreneurs,LAREM
PA720038,female,Josso,Sandrine,1975-09-19,Cadres,UDRL
PA720046,female,Dufeu,Audrey,1980-06-03,Cadres,LAREM
PA720054,male,Haury,Yannick,1954-06-12,Cadres,LAREM
PA720066,female,Rist,Stéphanie,1973-08-06,Cadres,LAREM
PA720074,female,Janvier,Caroline,1982-03-09,Cadres,LAREM
PA720092,male,Ramos,Richard,1968-03-23,Cadres,MODEM
PA720100,male,Pradié,Aurélien,1986-03-14,Cadres,REP
PA720108,female,Oppelt,Valérie,1973-12-10,Entrepreneurs,LAREM
PA720116,female,Brunet,Anne-France,1962-06-12,Cadres,LAREM
PA720124,female,Amadou,Aude,1980-02-29,Retraités,LAREM
PA720138,female,Saint-Paul,Laetitia,1981-01-21,Cadres,LAREM
PA720146,male,Masséglia,Denis,1981-04-11,Cadres,LAREM
PA720154,female,Dubré-Chirat,Nicole,1951-12-18,Retraités,LAREM
PA720162,male,Bolo,Philippe,1967-03-25,Cadres,MODEM
PA720170,female,Grandjean,Carole,1983-05-18,Cadres,LAREM
PA720178,male,Garcia,Laurent,1970-05-31,Cadres,MODEM
PA720190,male,Sorre,Bertrand,1965-05-08,Employés,LAREM
PA720202,female,Krimi,Sonia,1982-12-20,Cadres,LAREM
PA720210,female,Beauvais,Valérie,1963-03-08,Non déclaré,REP
PA720214,female,Kuric,Aina,1987-05-15,Entrepreneurs,MODEM
PA720222,male,Girardin,Éric,1962-02-12,Cadres,LAREM
PA720230,female,Magnier,Lise,1984-12-31,Cadres,MODEM
PA720246,male,Templier,Sylvain,1971-12-27,Cadres,LAREM
PA720256,female,Bannier,Géraldine,1979-11-22,Cadres,MODEM
PA720268,male,Damaisin,Olivier,1966-08-05,Entrepreneurs,UDRL
PA720278,male,Orphelin,Matthieu,1972-12-03,Cadres,EELV
PA720286,female,Fiat,Caroline,1977-01-28,Ouvriers,FI
PA720298,female,Cariou,Émilie,1971-10-14,Cadres,EELV
PA720310,male,Arend,Christophe,1975-08-12,Cadres,LAREM
PA720318,female,Zannier,Hélène,1972-09-19,Cadres,LAREM
PA720326,male,Hammouche,Brahim,1971-05-17,Cadres,MODEM
PA720334,male,Pahun,Jimmy,1962-05-15,Prof. inter.,MODEM
PA720342,female,Le Peih,Nicole,1959-09-28,Agriculteurs,LAREM
PA720354,male,Jacques,Jean-Michel,1968-02-29,Prof. inter.,LAREM
PA720362,male,Belhaddad,Belkhir,1969-07-09,Entrepreneurs,LAREM
PA720370,male,Mendes,Ludovic,1987-04-11,Cadres,LAREM
PA720378,male,Lioger,Richard,1957-09-18,Cadres,LAREM
PA720386,male,Di Filippo,Fabien,1986-08-23,Cadres,REP
PA720394,female,Trisse,Nicole,1963-06-29,Prof. inter.,LAREM
PA720402,male,Paluszkiewicz,Xavier,1972-12-13,Employés,LAREM
PA720414,male,Perrot,Patrice,1964-02-24,Entrepreneurs,LAREM
PA720422,male,Quatennens,Adrien,1990-05-23,Prof. inter.,FI
PA720430,male,Bernalicis,Ugo,1989-09-25,Employés,FI
PA720438,male,Di Pompeo,Christophe,1964-07-15,Cadres,LAREM
PA720446,female,Liso,Brigitte,1959-07-29,Entrepreneurs,LAREM
PA720454,male,Houbron,Dimitri,1991-02-12,Employés,LAREM
PA720468,male,Chenu,Sébastien,1973-04-13,Cadres,ND
PA720480,female,Parmentier-Lecocq,Charlotte,1977-07-17,Cadres,LAREM
PA720488,female,Six,Valérie,1963-01-11,Cadres,UDRL
PA720492,female,Osson,Catherine,1974-02-07,Cadres,LAREM
PA720500,female,Petit,Valérie,1976-06-23,Cadres,MODEM
PA720516,female,Morlighem,Florence,1970-04-10,Cadres,LAREM
PA720520,female,Cattelot,Anne-Laure,1988-10-25,Cadres,LAREM
PA720538,female,De Temmerman,Jennifer,1977-02-16,Cadres,RPS
PA720546,male,Bruneel,Alain,1952-03-07,Retraités,PCF
PA720552,female,Rauch,Isabelle,1968-08-10,Cadres,LAREM
PA720560,female,Goulet,Perrine,1978-03-19,Cadres,MODEM
PA720568,female,Thill,Agnès,1964-06-02,Prof. inter.,UDRL
PA720576,male,Bois,Pascal,1959-12-03,Cadres,LAREM
PA720586,male,Vatin,Pierre,1967-08-21,Cadres,REP
PA720590,male,Potterie,Benoit,1967-07-23,Entrepreneurs,LAREM
PA720598,female,Deprez-Audebert,Marguerite,1952-05-17,Retraités,MODEM
PA720610,female,Houplain,Myriane,1946-06-05,Non déclaré,ND
PA720614,female,Le Pen,Marine,1968-08-05,Cadres,ND
PA720622,female,Bureau-Bonnard,Carole,1965-08-09,Cadres,LAREM
PA720630,male,Minot,Maxime,1987-07-20,Employés,REP
PA720644,male,Nury,Jérôme,1972-08-25,Cadres,REP
PA720652,male,Duvergé,Bruno,1957-04-03,Cadres,MODEM
PA720664,male,Evrard,José,1945-07-17,Retraités,ND
PA720672,male,Therry,Robert,1947-06-27,Retraités,REP
PA720684,male,Dumont,Pierre-Henri,1987-10-07,Cadres,REP
PA720692,male,Roussel,Fabien,1969-04-16,Employés,PCF
PA720696,female,Descamps,Béatrice,1961-04-24,Prof. inter.,UDRL
PA720704,female,Vichnievsky,Laurence,1955-02-05,Cadres,MODEM
PA720720,female,Poueyto,Josy,1954-01-13,Retraités,MODEM
PA720728,male,Mattei,Jean-Paul,1954-03-21,Cadres,MODEM
PA720738,male,Michels,Thierry,1960-08-27,Cadres,LAREM
PA720746,male,Waserman,Sylvain,1967-12-08,Entrepreneurs,MODEM
PA720754,male,Studer,Bruno,1978-06-18,Cadres,LAREM
PA720764,female,Lasserre,Florence,1974-06-29,Employés,MODEM
PA720772,male,Bru,Vincent,1955-04-29,Cadres,MODEM
PA720780,male,Sempastous,Jean-Bernard,1964-08-05,Cadres,LAREM
PA720790,male,Grau,Romain,1974-06-21,Cadres,LAREM
PA720802,female,Pujol,Catherine,1960-04-06,Non déclaré,ND
PA720806,female,Gayte,Laurence,1965-09-25,Cadres,LAREM
PA720814,male,Cazenove,Sébastien,1976-12-28,Prof. inter.,LAREM
PA720822,male,Bilde,Bruno,1976-09-22,Cadres,ND
PA720830,female,Thomas,Valérie,1968-01-21,Cadres,LAREM
PA720846,male,Lachaud,Bastien,1980-08-05,Cadres,FI
PA720854,male,Testé,Stéphane,1968-05-10,Cadres,LAREM
PA720862,male,Descrozaille,Frédéric,1967-04-16,Cadres,LAREM
PA720870,male,Mbaye,Jean François,1979-01-01,Employés,LAREM
PA720878,male,Saint-Martin,Laurent,1985-06-22,Cadres,LAREM
PA720892,female,Panot,Mathilde,1989-01-15,Cadres,FI
PA720900,female,Rilhac,Cécile,1974-04-21,Cadres,LAREM
PA720908,female,Moutchou,Naïma,1980-11-04,Cadres,LAREM
PA720916,female,Lazaar,Fiona,1985-09-19,Cadres,EELV
PA720928,male,Corceiro,David,1977-08-03,Cadres,MODEM
PA720932,male,Da Silva,Dominique,1968-06-30,Entrepreneurs,LAREM
PA720944,female,Park,Zivka,1985-01-22,Cadres,LAREM
